Binol,Ligand,R,S
1,1170,50.0,50.0
1,1174,49.0,51.0
2,1168,50.0,50.0
3,1157,50.0,50.0
4,1143,49.0,51.0
4,1118,44.0,56.0
5,1144,50.0,50.0
6,1044,46.0,54.0
26,1015,50.0,50.0
27,1060,15.0,85.0
39,1133,47.0,53.0
35,1148,50.0,50.0
35,1063,48.0,52.0
31,1068,47.0,53.0
42,1125,50.0,50.0
41,1153,50.0,50.0
40,1127,50.0,50.0
34,1145,50.0,50.0
32,1140,50.0,50.0
10,1085,49.0,51.0
11,1149,50.0,50.0
11,1113,54.0,46.0
12,1142,50.0,50.0
13,1155,49.0,51.0
14,1156,50.0,50.0
15,1124,51.0,49.0
16,1158,50.0,50.0
17,1147,50.0,50.0
17,1122,47.0,53.0
18,1162,50.0,50.0
19,1177,49.0,51.0
19,1160,50.0,50.0
20,1126,50.0,50.0
21,1139,45.0,55.0
22,1152,49.0,51.0
7,1178,50.0,50.0
8,1163,50.0,50.0
9,1006,60.0,40.0
23,1150,50.0,50.0
25,1173,50.0,50.0
24,1154,50.0,50.0
30,1136,37.0,63.0
28,1024,44.0,56.0
29,1100,47.0,53.0
44,1151,50.0,50.0
33,1161,50.0,50.0
43,1166,50.0,50.0
36,1169,50.0,50.0
38,1176,50.0,50.0
38,1128,50.0,50.0
1,1060,33.0,67.0
1,1075,59.0,41.0
1,1113,48.0,52.0
1,1164,50.0,50.0
1,1042,48.0,52.0
1,1114,44.0,56.0
1,1115,49.0,51.0
2,1060,48.0,52.0
5,1075,50.0,50.0
39,1075,52.0,48.0
35,1075,64.0,36.0
42,1060,40.0,60.0
11,1060,46.0,54.0
12,1060,37.0,63.0
12,1075,74.0,26.0
13,1060,34.0,66.0
13,1075,66.0,34.0
13,1113,42.0,58.0
14,1060,29.0,71.0
15,1060,31.0,69.0
15,1113,49.0,51.0
16,1060,45.0,55.0
17,1060,40.0,60.0
17,1113,47.0,53.0
20,1060,37.0,63.0
21,1060,37.0,63.0
21,1075,60.0,40.0
7,1060,49.0,51.0
7,1075,65.0,35.0
7,1113,26.0,74.0
8,1060,41.0,59.0
8,1075,76.0,24.0
8,1113,45.0,55.0
8,1164,50.0,50.0
9,1060,40.0,60.0
9,1075,85.0,15.0
25,1060,30.0,70.0
25,1075,57.0,43.0
24,1060,23.0,77.0
24,1075,68.0,32.0
24,1113,46.0,54.0
24,1114,38.0,62.0
24,1164,49.0,51.0
30,1164,50.0,50.0
30,1075,65.0,35.0
43,1060,44.0,56.0
43,1164,50.0,50.0
1,1155,53.0,47.0
1,1034,48.0,52.0
1,1054,50.0,50.0
1,1059,50.0,50.0
1,1120,49.0,51.0
10,1075,59.0,41.0
11,1075,59.0,41.0
11,1155,54.0,46.0
13,1115,49.0,51.0
13,1034,48.0,52.0
13,1054,49.0,51.0
13,1059,49.0,51.0
14,1113,46.0,54.0
14,1115,48.0,52.0
14,1034,48.0,52.0
14,1155,50.0,50.0
14,1059,49.0,51.0
14,1054,50.0,50.0
14,1075,62.0,38.0
14,1108,48.0,52.0
15,1115,47.0,53.0
15,1034,49.0,51.0
15,1054,50.0,50.0
15,1075,68.0,32.0
15,1155,56.0,44.0
16,1034,49.0,51.0
16,1113,48.0,52.0
16,1054,49.0,51.0
17,1034,48.0,52.0
17,1075,69.0,31.0
17,1054,49.0,51.0
18,1075,56.0,44.0
19,1060,39.0,61.0
20,1075,61.0,39.0
20,1034,49.0,51.0
20,1113,43.0,57.0
