Binol,Ligand,R,S
1,1170,50.0,50.0
1,1174,49.0,51.0
41,1168,50.0,50.0
42,1157,50.0,50.0
16,1143,49.0,51.0
16,1118,44.0,56.0
43,1144,50.0,50.0
44,1044,46.0,54.0
19,1015,50.0,50.0
51,1060,15.0,85.0
24,1133,47.0,53.0
28,1148,50.0,50.0
28,1063,48.0,52.0
55,1068,47.0,53.0
63,1125,50.0,50.0
62,1153,50.0,50.0
61,1127,50.0,50.0
58,1145,50.0,50.0
56,1140,50.0,50.0
45,1085,49.0,51.0
46,1149,50.0,50.0
46,1113,54.0,46.0
47,1142,50.0,50.0
6,1155,49.0,51.0
8,1156,50.0,50.0
9,1124,51.0,49.0
48,1158,50.0,50.0
49,1147,50.0,50.0
49,1122,47.0,53.0
50,1162,50.0,50.0
11,1177,49.0,51.0
11,1160,50.0,50.0
10,1126,50.0,50.0
12,1139,45.0,55.0
13,1152,49.0,51.0
2,1178,50.0,50.0
3,1163,50.0,50.0
4,1006,60.0,40.0
14,1150,50.0,50.0
40,1173,50.0,50.0
15,1154,50.0,50.0
54,1136,37.0,63.0
52,1024,44.0,56.0
53,1100,47.0,53.0
65,1151,50.0,50.0
57,1161,50.0,50.0
64,1166,50.0,50.0
29,1169,50.0,50.0
60,1176,50.0,50.0
60,1128,50.0,50.0
1,1060,33.0,67.0
1,1075,59.0,41.0
1,1113,48.0,52.0
1,1164,50.0,50.0
1,1042,48.0,52.0
1,1114,44.0,56.0
1,1115,49.0,51.0
41,1060,48.0,52.0
43,1075,50.0,50.0
24,1075,52.0,48.0
28,1075,64.0,36.0
63,1060,40.0,60.0
46,1060,46.0,54.0
47,1060,37.0,63.0
47,1075,74.0,26.0
6,1060,34.0,66.0
6,1075,66.0,34.0
6,1113,42.0,58.0
8,1060,29.0,71.0
9,1060,31.0,69.0
9,1113,49.0,51.0
48,1060,45.0,55.0
49,1060,40.0,60.0
49,1113,47.0,53.0
10,1060,37.0,63.0
12,1060,37.0,63.0
12,1075,60.0,40.0
2,1060,49.0,51.0
2,1075,65.0,35.0
2,1113,26.0,74.0
3,1060,41.0,59.0
3,1075,76.0,24.0
3,1113,45.0,55.0
3,1164,50.0,50.0
4,1060,40.0,60.0
4,1075,85.0,15.0
40,1060,30.0,70.0
40,1075,57.0,43.0
15,1060,23.0,77.0
15,1075,68.0,32.0
15,1113,46.0,54.0
15,1114,38.0,62.0
15,1164,49.0,51.0
54,1164,50.0,50.0
54,1075,65.0,35.0
64,1060,44.0,56.0
64,1164,50.0,50.0
1,1155,53.0,47.0
1,1034,48.0,52.0
1,1054,50.0,50.0
1,1059,50.0,50.0
1,1120,49.0,51.0
45,1075,59.0,41.0
46,1075,59.0,41.0
46,1155,54.0,46.0
6,1115,49.0,51.0
6,1034,48.0,52.0
6,1054,49.0,51.0
6,1059,49.0,51.0
8,1113,46.0,54.0
8,1115,48.0,52.0
8,1034,48.0,52.0
8,1155,50.0,50.0
8,1059,49.0,51.0
8,1054,50.0,50.0
8,1075,62.0,38.0
8,1108,48.0,52.0
9,1115,47.0,53.0
9,1034,49.0,51.0
9,1054,50.0,50.0
9,1075,68.0,32.0
9,1155,56.0,44.0
48,1034,49.0,51.0
48,1113,48.0,52.0
48,1054,49.0,51.0
49,1034,48.0,52.0
49,1075,69.0,31.0
49,1054,49.0,51.0
50,1075,56.0,44.0
11,1060,39.0,61.0
10,1075,61.0,39.0
10,1034,49.0,51.0
10,1113,43.0,57.0
12,1113,44.0,56.0
12,1034,45.0,55.0
12,1054,50.0,50.0
13,1060,30.0,70.0
2,1115,25.0,75.0
14,1060,41.0,59.0
14,1075,65.0,35.0
15,1034,48.0,52.0
